* @ q
* q q;q q *;q q q;@ q q
G o x;* * G;* G o;G o x;* G o
o G G;* G o;G o G;o G G;G G G
q q o;G d q;d q q;q q o;o d q
q q o;G q q;q q q;q q o;d q q
q q o;d q q;q q q;q q o;d q q
q q o;q q q;q q q;q q o;q q q
o q q;o q q;q q q;q q q;q q q
q q x;G d q;d q q;q q x;o d q
q q x;G q q;q q q;q q x;d q q
q q x;q q q;q q q;q q x;q q q
q q x;d q q;q q q;q q x;d q q
x q q;x q q;q q q;q q q;q q q
o G o;* G o;G o G;o G o;G G G
o G o;G o G;o G o;G o G;G G G
o G o;o G o;G o G;o G *;G G G
< q q;< q q;q q q;q q q;q q q
q G q;q G q;G q q;q q q;G d q
q q >;G d q;d q q;q q >;o d q
q q >;G q q;q q q;q q >;d q q
q q >;d q q;q q q;q q >;d q q
q q >;q q q;q q q;q q >;q q q
a;* * G;* G o;G o d;* G x
g G d;g G d;G d q;d q q;G o d
G G d;G G d;G d q;d q q;G o d
G x x;* * G;* G x;G x x;* G G
G o o;* * G;* G o;G o o;* G o
o o G;o o G;o G *;G * *;o G *
x o G;x o G;o G *;G * *;o G *
G G o;G G o;G o G;o G *;G G G
G G q;G G q;G q q;q q q;G d q
G o x;* * G;* G o;G o x;* G o
o G G;* G o;G o G;o G G;G G G
q q o;G d q;d q q;q q o;o d q
q q o;G q q;q q q;q q o;d q q
q q o;d q q;q q q;q q o;d q q
q q o;q q q;q q q;q q o;q q q
o q q;o q q;q q q;q q q;q q q
G o <;* * G;* G o;G o <;* G x
q q x;G d q;d q q;q q x;o d q
q q x;G q q;q q q;q q x;d q q
q q x;q q q;q q q;q q x;q q q
q q x;d q q;q q q;q q x;d q q
x q q;x q q;q q q;q q q;q q q
o G o;* G o;G o G;o G o;G G G
o G o;G o G;o G o;G o G;G G G
o G o;o G o;G o G;o G *;G G G
< q q;< q q;q q q;q q q;q q q
q G q;q G q;G q q;q q q;G d q
q q >;G d q;d q q;q q >;o d q
q q >;G q q;q q q;q q >;d q q
q q >;d q q;q q q;q q >;d q q
q q >;q q q;q q q;q q >;q q q
G x q;* * G;* G x;G x q;* G x
a;* G o;G o d;o d q;G x q
v;* * G;* G x;G x q;* G x
g G d;g G d;G d q;d q q;G o d
G G d;G G d;G d q;d q q;G o d
G x x;* * G;* G x;G x x;* G G
G o o;* * G;* G o;G o o;* G o
o o G;o o G;o G *;G * *;o G *
x o G;x o G;o G *;G * *;o G *
G G o;G G o;G o G;o G *;G G G
G G o;G G o;G o d;o d q;G x q
G G q;G G q;G q q;q q q;G d q
G o x;* * G;* G o;G o x;* G o
o G G;* G o;G o G;o G G;G G G
q q o;G d q;d q q;q q o;o d q
q q o;G q q;q q q;q q o;d q q
q q o;d q q;q q q;q q o;d q q
q q o;q q q;q q q;q q o;q q q
o q q;o q q;q q q;q q q;q q q
G o <;* * G;* G o;G o <;* G x
q q x;G d q;d q q;q q x;o d q
q q x;G q q;q q q;q q x;d q q
q q x;q q q;q q q;q q x;q q q
q q x;d q q;q q q;q q x;d q q
x q q;x q q;q q q;q q q;q q q
x q o;* G x;G x q;x q o;G x q
o G o;* G o;G o G;o G o;G G G
o G o;G o G;o G o;G o G;G G G
o G o;o G o;G o G;o G *;G G G
o G o;o G o;G o d;o d q;G x q
< q q;< q q;q q q;q q q;q q q
q G q;q G q;G q q;q q q;G d q
q q >;G d q;d q q;q q >;o d q
q q >;G q q;q q q;q q >;d q q
q q >;d q q;q q q;q q >;d q q
q q >;q q q;q q q;q q >;q q q
x q x;* G x;G x q;x q x;G x q
a;G o d;o d q;d q *;x q G
